dataset,size,proxy,self,concat,concat.smoothed,sepDec.smoothed,datasetEmbeds.smoothed
UD_Turkish-PUD,tr_pud,,tr\_boun,0,23.36,24.53,24.42,23.42,23.67
UD_Turkish-Tourism,tr_tourism,,---,71466,94.43,94.67,94.76,94.79,95.18
UD_Uyghur-UDT,ug_udt,,---,19262,70.03,70.20,87.66,89.03,85.62
UD_Ukrainian-IU,uk_iu,,---,92635,90.95,89.57,92.27,95.09,92.66
UD_Urdu-UDTB,ur_udtb,,---,108690,83.93,84.11,84.23,83.46,84.41
UD_Kaapor-TuDeT,urb_tudet,,---,0,13.47,35.97,46.95,25.14,44.72
UD_Vietnamese-VTB,vi_vtb,,---,20285,100.00,100.00,100.00,100.00,100.00
UD_Warlpiri-UFAL,wbp_ufal,,id\_gsd,0,18.68,18.25,18.47,18.68,18.57
UD_Wolof-WTB,wo_wtb,,---,24228,83.73,78.63,87.09,88.83,82.78
UD_Kangri-KDTB,xnr_kdtb,,---,0,24.76,29.66,27.29,23.22,27.01
UD_Yoruba-YTB,yo_ytb,,ga\_idt,0,24.16,54.97,58.90,34.99,49.84
UD_Cantonese-HK,yue_hk,,zh\_gsd,0,88.61,89.68,86.20,86.02,85.82
UD_Chinese-CFL,zh_cfl,,zh\_gsdsimp,0,81.79,81.87,81.59,81.65,81.58
UD_Chinese-GSD,zh_gsd,,---,98616,99.42,99.35,99.55,99.55,99.50
UD_Chinese-GSDSimp,zh_gsdsimp,,---,98616,99.43,99.35,99.56,99.55,99.54
UD_Chinese-HK,zh_hk,,zh\_gsd,0,85.08,84.28,84.32,84.84,84.47
UD_Chinese-PUD,zh_pud,,zh\_gsd,0,98.69,98.54,98.69,98.73,98.59
UD_German-tweeDE,de_tweede,{\small \cite{rehbein-etal-2019-tweede}},---,5836,63.36,63.74,74.58,82.34,68.43
UD_English-AAE-UD-v1,en_aae,{\small \cite{blodgett-etal-2018-twitter}},en\_ewt,0,33.34,35.95,36.71,32.79,35.81
UD_English-ConvBank,en_convbank,{\small \cite{davidson-etal-2019-dependency}},---,5057,91.37,93.92,94.49,95.46,94.54
UD_English-Dundee,en_dundee,{\small \cite{barrett2015dundee}},---,0,34.49,35.03,35.56,35.13,36.09
UD_English-ESL,en_esl,{\small \cite{berzak-etal-2016-universal}},---,78541,100.00,100.00,100.00,100.00,100.00
UD_English-GUMReddit,en_gumreddit,{\small \cite{behzad-zeldes-2020-cross}},---,10831,87.08,88.36,90.89,96.00,92.82
UD_English-MoNoise,en_monoise,\resizebox{4cm}{!}{\cite{van-der-goot-van-noord-2018-modeling}},en\_ewt,0,99.72,43.72,41.40,99.72,43.05
UD_Singlish-SingPar,en_singpar,{\small \cite{wang2019genesis}},---,27368,100.00,100.00,100.00,100.00,100.00
UD_English-Tweebank2,en_tweebank2,{\small \cite{liu-etal-2018-parsing}},---,24753,100.00,100.00,100.00,100.00,100.00
UD_French-ExtremeUGC0.6.2,fr_extremeugc,{\small \cite{martinez-alonso-etal-2016-noisy}},fr\_gsd,0,60.51,43.79,43.61,58.48,44.72
UD_French-FTB,fr_ftb,{\small \cite{abeille-etal-2000-building}},---,469664,92.34,90.50,91.14,92.29,91.78
UD_Mbya_Guarani-Dooley,gun_dooley,{\small \cite{thomas-2019-universal}},---,0,36.21,43.39,45.92,32.40,43.70
UD_Hindi_English-HIENCS,qhe_hiencs,{\small \cite{bhat-etal-2018-universal}},---,20203,100.00,99.86,99.98,100.00,100.00
